t_ms,gas_raw,temp_c,flame,gas_avg,temp_avg,dGas,dTemp,ml_state,final_state,alarm,suppression,label,label_name
1000,123,38,0,123,38,0,0,0,0,0,0,0,NORMAL
2000,309,32.6,0,216,35.3,93,-2.7,0,0,0,0,0,NORMAL
3000,276,34.7,0,236,35.1,20,-0.2,0,0,0,0,0,NORMAL
4000,222,32.5,0,232.5,34.5,-3.5,-0.65,0,0,0,0,0,NORMAL
5000,220,31.7,0,230,33.9,-2.5,-0.55,0,0,0,0,0,NORMAL
6000,328,29.6,0,271,32.2,41,-1.68,0,0,0,0,0,NORMAL
7000,156,33.9,0,240.4,32.5,-30.6,0.26,0,0,0,0,0,NORMAL
8000,314,28.9,0,248,31.3,7.6,-1.16,0,0,0,0,0,NORMAL
9000,167,35.1,0,237,31.8,-11,0.52,0,0,0,0,0,NORMAL
10000,158,36.5,0,224.6,32.8,-12.4,0.96,0,0,0,0,0,NORMAL
11000,231,33.6,0,205.2,33.6,-19.4,0.8,0,0,0,0,0,NORMAL
12000,369,30.7,0,247.8,33,42.6,-0.64,0,0,0,0,0,NORMAL
13000,280,33.3,0,241,33.8,-6.8,0.88,0,0,0,0,0,NORMAL
14000,323,30.1,0,272.2,32.8,31.2,-1,0,0,0,0,0,NORMAL
15000,336,34.6,0,307.8,32.5,35.6,-0.38,0,0,0,0,0,NORMAL
16000,305,23.7,0,322.6,30.5,14.8,-1.98,0,0,0,0,0,NORMAL
17000,199,29.2,0,288.6,30.2,-34,-0.3,0,0,0,0,0,NORMAL
18000,139,22.9,0,260.4,28.1,-28.2,-2.08,0,0,0,0,0,NORMAL
19000,345,24.4,0,264.8,27,4.4,-1.14,0,0,0,0,0,NORMAL
20000,239,35.6,0,245.4,27.2,-19.4,0.2,0,0,0,0,0,NORMAL
21000,244,33.5,0,233.2,29.1,-12.2,1.96,0,0,0,0,0,NORMAL
22000,228,27.5,0,239,28.8,5.8,-0.34,0,0,0,0,0,NORMAL
23000,172,24.5,0,245.6,29.1,6.6,0.32,0,0,0,0,0,NORMAL
24000,366,18.6,0,249.8,27.9,4.2,-1.16,0,0,0,0,0,NORMAL
25000,325,28.5,0,267,26.5,17.2,-1.42,0,0,0,0,0,NORMAL
26000,304,39.5,0,279,27.7,12,1.2,0,0,0,0,0,NORMAL
27000,223,31.5,0,278,28.5,-1,0.8,0,0,0,0,0,NORMAL
28000,335,28.4,0,310.6,29.3,32.6,0.78,0,0,0,0,0,NORMAL
29000,243,32.5,0,286,32.1,-24.6,2.78,0,0,0,0,0,NORMAL
30000,213,24.4,0,263.6,31.3,-22.4,-0.82,0,0,0,0,0,NORMAL
31000,262,29.7,0,255.2,29.3,-8.4,-1.96,0,0,0,0,0,NORMAL
32000,178,31.7,0,246.2,29.3,-9,0.04,0,0,0,0,0,NORMAL
33000,158,30.1,0,210.8,29.7,-35.4,0.34,0,0,0,0,0,NORMAL
34000,255,32.9,0,213.2,29.8,2.4,0.08,0,0,0,0,0,NORMAL
35000,321,31.2,0,234.8,31.1,21.6,1.36,0,0,0,0,0,NORMAL
36000,135,32.3,0,209.4,31.6,-25.4,0.52,0,0,0,0,0,NORMAL
37000,353,27.4,0,244.4,30.8,35,-0.86,0,0,0,0,0,NORMAL
38000,329,33.6,0,278.6,31.5,34.2,0.7,0,0,0,0,0,NORMAL
39000,151,35.7,0,257.8,32,-20.8,0.56,0,0,0,0,0,NORMAL
40000,266,24.8,0,246.8,30.8,-11,-1.28,0,0,0,0,0,NORMAL
41000,194,24.1,0,258.6,29.1,11.8,-1.64,0,0,0,0,0,NORMAL
42000,296,32.9,0,247.2,30.2,-11.4,1.1,0,0,0,0,0,NORMAL
43000,251,26.7,0,231.6,28.8,-15.6,-1.38,0,0,0,0,0,NORMAL
44000,242,32.9,0,249.8,28.3,18.2,-0.56,0,0,0,0,0,NORMAL
45000,149,25.9,0,226.4,28.5,-23.4,0.22,0,0,0,0,0,NORMAL
46000,350,34,0,257.6,30.5,31.2,1.98,0,0,0,0,0,NORMAL
47000,218,28.6,0,242,29.6,-15.6,-0.86,0,0,0,0,0,NORMAL
48000,355,28.3,0,262.8,29.9,20.8,0.32,0,0,0,0,0,NORMAL
49000,271,33.8,0,268.6,30.1,5.8,0.18,0,0,0,0,0,NORMAL
50000,328,26.3,0,304.4,30.2,35.8,0.08,0,0,0,0,0,NORMAL
51000,312,24.1,0,296.8,28.2,-7.6,-1.98,0,0,0,0,0,NORMAL
52000,170,26.4,0,287.2,27.8,-9.6,-0.44,0,0,0,0,0,NORMAL
53000,209,29.6,0,258,28,-29.2,0.26,0,0,0,0,0,NORMAL
54000,228,22.3,0,249.4,25.7,-8.6,-2.3,0,0,0,0,0,NORMAL
55000,259,30.7,0,235.6,26.6,-13.8,0.88,0,0,0,0,0,NORMAL
56000,112,26.3,0,195.6,27.1,-40,0.44,0,0,0,0,0,NORMAL
57000,218,32.4,0,205.2,28.3,9.6,1.2,0,0,0,0,0,NORMAL
58000,169,18,0,197.2,25.9,-8,-2.32,0,0,0,0,0,NORMAL
59000,310,24.9,0,213.6,26.5,16.4,0.52,0,0,0,0,0,NORMAL
60000,292,21.2,0,220.2,24.6,6.6,-1.9,0,0,0,0,0,NORMAL
61000,349,25,0,267.6,24.3,47.4,-0.26,0,0,0,0,0,NORMAL
62000,291,29.4,0,282.2,23.7,14.6,-0.6,0,0,0,0,0,NORMAL
63000,222,27.6,0,292.8,25.6,10.6,1.92,0,0,0,0,0,NORMAL
64000,351,27.9,0,301,26.2,8.2,0.6,0,0,0,0,0,NORMAL
65000,208,28.1,0,284.2,27.6,-16.8,1.38,0,0,0,0,0,NORMAL
66000,191,28.9,0,252.6,28.4,-31.6,0.78,0,0,0,0,0,NORMAL
67000,377,23.7,0,269.8,27.2,17.2,-1.14,0,0,0,0,0,NORMAL
68000,173,30.8,0,260,27.9,-9.8,0.64,0,0,0,0,0,NORMAL
69000,147,30.8,0,219.2,28.5,-40.8,0.58,0,0,0,0,0,NORMAL
70000,198,29,0,217.2,28.6,-2,0.18,0,0,0,0,0,NORMAL
71000,307,29.4,0,240.4,28.7,23.2,0.1,0,0,0,0,0,NORMAL
72000,156,28.2,0,196.2,29.6,-44.2,0.9,0,0,0,0,0,NORMAL
73000,189,35,0,199.4,30.5,3.2,0.84,0,0,0,0,0,NORMAL
74000,158,25.9,0,201.6,29.5,2.2,-0.98,0,0,0,0,0,NORMAL
75000,276,24.8,0,217.2,28.7,15.6,-0.84,0,0,0,0,0,NORMAL
76000,192,22.7,0,194.2,27.3,-23,-1.34,0,0,0,0,0,NORMAL
77000,215,21.9,0,206,26.1,11.8,-1.26,0,0,0,0,0,NORMAL
78000,202,21.4,0,208.6,23.3,2.6,-2.72,0,0,0,0,0,NORMAL
79000,284,22.8,0,233.8,22.7,25.2,-0.62,0,0,0,0,0,NORMAL
80000,287,25.9,0,236,22.9,2.2,0.22,0,0,0,0,0,NORMAL
81000,345,27.6,0,266.6,23.9,30.6,0.98,0,0,0,0,0,NORMAL
82000,250,26.1,0,273.6,24.8,7,0.84,0,0,0,0,0,NORMAL
83000,191,22.4,0,271.4,25,-2.2,0.2,0,0,0,0,0,NORMAL
84000,341,28.7,0,282.8,26.1,11.4,1.18,0,0,0,0,0,NORMAL
85000,252,27.8,0,275.8,26.5,-7,0.38,0,0,0,0,0,NORMAL
86000,292,23.7,0,265.2,25.7,-10.6,-0.78,0,0,0,0,0,NORMAL
87000,151,21.8,0,245.4,24.9,-19.8,-0.86,0,0,0,0,0,NORMAL
88000,157,26.9,0,238.6,25.8,-6.8,0.9,0,0,0,0,0,NORMAL
89000,313,24.8,0,233,25,-5.6,-0.78,0,0,0,0,0,NORMAL
90000,364,18.3,0,255.4,23.1,22.4,-1.9,0,0,0,0,0,NORMAL
91000,236,23.7,0,244.2,23.1,-11.2,0,0,0,0,0,0,NORMAL
92000,342,25.2,0,282.4,23.8,38.2,0.68,0,0,0,0,0,NORMAL
93000,325,20.5,0,316,22.5,33.6,-1.28,0,0,0,0,0,NORMAL
94000,210,24.3,0,295.4,22.4,-20.6,-0.1,0,0,0,0,0,NORMAL
95000,342,18,0,291,22.3,-4.4,-0.06,0,0,0,0,0,NORMAL
96000,172,28.4,0,278.2,23.3,-12.8,0.94,0,0,0,0,0,NORMAL
97000,157,28.4,0,241.2,23.9,-37,0.64,0,0,0,0,0,NORMAL
98000,308,21.6,0,237.8,24.1,-3.4,0.22,0,0,0,0,0,NORMAL
99000,299,24.2,0,255.6,24.1,17.8,-0.02,0,0,0,0,0,NORMAL
100000,133,18,0,213.8,24.1,-41.8,0,0,0,0,0,0,NORMAL
101000,338,18.5,0,247,22.1,33.2,-1.98,0,0,0,0,0,NORMAL
102000,165,22.2,0,248.6,20.9,1.6,-1.24,0,0,0,0,0,NORMAL
103000,319,18.8,0,250.8,20.3,2.2,-0.56,0,0,0,0,0,NORMAL
104000,130,25.9,0,217,20.7,-33.8,0.34,0,0,0,0,0,NORMAL
105000,330,30.3,0,256.4,23.1,39.4,2.46,0,0,0,0,0,NORMAL
106000,309,18,0,250.6,23,-5.8,-0.1,0,0,0,0,0,NORMAL
107000,335,18.4,0,284.6,22.3,34,-0.76,0,0,0,0,0,NORMAL
108000,285,22.3,0,277.8,23,-6.8,0.7,0,0,0,0,0,NORMAL
109000,245,27.7,0,300.8,23.3,23,0.36,0,0,0,0,0,NORMAL
110000,272,18,0,289.2,20.9,-11.6,-2.46,0,0,0,0,0,NORMAL
111000,229,21.1,0,273.2,21.5,-16,0.62,0,0,0,0,0,NORMAL
112000,316,27.3,0,269.4,23.3,-3.8,1.78,0,0,0,0,0,NORMAL
113000,267,18,0,265.8,22.4,-3.6,-0.86,0,0,0,0,0,NORMAL
114000,197,18,0,256.2,20.5,-9.6,-1.94,0,0,0,0,0,NORMAL
115000,224,18.4,0,246.6,20.6,-9.6,0.08,0,0,0,0,0,NORMAL
116000,280,18.1,0,256.8,20,10.2,-0.6,0,0,0,0,0,NORMAL
117000,133,23.5,0,220.2,19.2,-36.6,-0.76,0,0,0,0,0,NORMAL
118000,114,21.9,0,189.6,20,-30.6,0.78,0,0,0,0,0,NORMAL
119000,198,18,0,189.8,20,0.2,0,0,0,0,0,0,NORMAL
120000,136,22.5,0,172.2,20.8,-17.6,0.82,0,0,0,0,0,NORMAL
121000,253,18.6,0,166.8,20.9,-5.4,0.1,0,0,0,0,0,NORMAL
122000,278,26.5,0,195.8,21.5,29,0.6,0,0,0,0,0,NORMAL
123000,281,18.4,0,229.2,20.8,33.4,-0.7,0,0,0,0,0,NORMAL
124000,256,18.2,0,240.8,20.8,11.6,0.04,0,0,0,0,0,NORMAL
125000,307,23.5,0,275,21,34.2,0.2,0,0,0,0,0,NORMAL
126000,235,24.5,0,271.4,22.2,-3.6,1.18,0,0,0,0,0,NORMAL
127000,135,23.4,0,242.8,21.6,-28.6,-0.62,0,0,0,0,0,NORMAL
128000,319,18,0,250.4,21.5,7.6,-0.08,0,0,0,0,0,NORMAL
129000,230,23.5,0,245.2,22.6,-5.2,1.06,0,0,0,0,0,NORMAL
130000,238,18,0,231.4,21.5,-13.8,-1.1,0,0,0,0,0,NORMAL
131000,271,22.3,0,238.6,21,7.2,-0.44,0,0,0,0,0,NORMAL
132000,239,18,0,259.4,20,20.8,-1.08,0,0,0,0,0,NORMAL
133000,133,23.1,0,222.2,21,-37.2,1.02,0,0,0,0,0,NORMAL
134000,216,18,0,219.4,19.9,-2.8,-1.1,0,0,0,0,0,NORMAL
135000,296,18,0,231,19.9,11.6,0,0,0,0,0,0,NORMAL
136000,191,25.3,0,215,20.5,-16,0.6,0,0,0,0,0,NORMAL
137000,282,22.7,0,223.6,21.4,8.6,0.94,0,0,0,0,0,NORMAL
138000,111,19.4,0,219.2,20.7,-4.4,-0.74,0,0,0,0,0,NORMAL
139000,236,27.4,0,223.2,22.6,4,1.88,0,0,0,0,0,NORMAL
140000,210,20,0,206,23,-17.2,0.4,0,0,0,0,0,NORMAL
141000,341,22,0,236,22.3,30,-0.66,0,0,0,0,0,NORMAL
142000,201,23.2,0,219.8,22.4,-16.2,0.1,0,0,0,0,0,NORMAL
143000,190,20.1,0,235.6,22.5,15.8,0.14,0,0,0,0,0,NORMAL
144000,206,24.6,0,229.6,22,-6,-0.56,0,0,0,0,0,NORMAL
145000,354,21,0,258.4,22.2,28.8,0.2,0,0,0,0,0,NORMAL
146000,351,20.5,0,260.4,21.9,2,-0.3,0,0,0,0,0,NORMAL
147000,157,28.3,0,251.6,22.9,-8.8,1.02,0,0,0,0,0,NORMAL
148000,159,18.8,0,245.4,22.6,-6.2,-0.26,0,0,0,0,0,NORMAL
149000,316,18,0,267.4,21.3,22,-1.32,0,0,0,0,0,NORMAL
