gas_raw,temp_c,flame,gas_avg,temp_avg,dGas,dTemp,label_name,water level
123,38,0,123,38,0,0,NORMAL,295
309,32.6,0,216,35.3,93,-2.7,NORMAL,262
276,34.7,0,236,35.1,20,-0.2,NORMAL,187
222,32.5,0,232.5,34.5,-3.5,-0.65,NORMAL,208
220,31.7,0,230,33.9,-2.5,-0.55,NORMAL,123
328,29.6,0,271,32.2,41,-1.68,NORMAL,150
156,33.9,0,240.4,32.5,-30.6,0.26,NORMAL,237
314,28.9,0,248,31.3,7.6,-1.16,NORMAL,145
167,35.1,0,237,31.8,-11,0.52,NORMAL,171
158,36.5,0,224.6,32.8,-12.4,0.96,NORMAL,165
231,33.6,0,205.2,33.6,-19.4,0.8,NORMAL,255
369,30.7,0,247.8,33,42.6,-0.64,NORMAL,171
280,33.3,0,241,33.8,-6.8,0.88,NORMAL,154
323,30.1,0,272.2,32.8,31.2,-1,NORMAL,140
336,34.6,0,307.8,32.5,35.6,-0.38,NORMAL,181
305,23.7,0,322.6,30.5,14.8,-1.98,NORMAL,170
199,29.2,0,288.6,30.2,-34,-0.3,NORMAL,193
139,22.9,0,260.4,28.1,-28.2,-2.08,NORMAL,201
345,24.4,0,264.8,27,4.4,-1.14,NORMAL,111
239,35.6,0,245.4,27.2,-19.4,0.2,NORMAL,263
244,33.5,0,233.2,29.1,-12.2,1.96,NORMAL,153
228,27.5,0,239,28.8,5.8,-0.34,NORMAL,272
172,24.5,0,245.6,29.1,6.6,0.32,NORMAL,247
366,18.6,0,249.8,27.9,4.2,-1.16,NORMAL,252
325,28.5,0,267,26.5,17.2,-1.42,NORMAL,239
304,39.5,0,279,27.7,12,1.2,NORMAL,199
223,31.5,0,278,28.5,-1,0.8,NORMAL,223
335,28.4,0,310.6,29.3,32.6,0.78,NORMAL,140
243,32.5,0,286,32.1,-24.6,2.78,NORMAL,108
213,24.4,0,263.6,31.3,-22.4,-0.82,NORMAL,215
262,29.7,0,255.2,29.3,-8.4,-1.96,NORMAL,192
178,31.7,0,246.2,29.3,-9,0.04,NORMAL,120
158,30.1,0,210.8,29.7,-35.4,0.34,NORMAL,140
255,32.9,0,213.2,29.8,2.4,0.08,NORMAL,207
321,31.2,0,234.8,31.1,21.6,1.36,NORMAL,223
135,32.3,0,209.4,31.6,-25.4,0.52,NORMAL,262
353,27.4,0,244.4,30.8,35,-0.86,NORMAL,184
329,33.6,0,278.6,31.5,34.2,0.7,NORMAL,197
151,35.7,0,257.8,32,-20.8,0.56,NORMAL,274
266,24.8,0,246.8,30.8,-11,-1.28,NORMAL,256
194,24.1,0,258.6,29.1,11.8,-1.64,NORMAL,147
296,32.9,0,247.2,30.2,-11.4,1.1,NORMAL,243
251,26.7,0,231.6,28.8,-15.6,-1.38,NORMAL,204
242,32.9,0,249.8,28.3,18.2,-0.56,NORMAL,148
149,25.9,0,226.4,28.5,-23.4,0.22,NORMAL,280
350,34,0,257.6,30.5,31.2,1.98,NORMAL,168
218,28.6,0,242,29.6,-15.6,-0.86,NORMAL,203
355,28.3,0,262.8,29.9,20.8,0.32,NORMAL,247
271,33.8,0,268.6,30.1,5.8,0.18,NORMAL,140
328,26.3,0,304.4,30.2,35.8,0.08,NORMAL,119
312,24.1,0,296.8,28.2,-7.6,-1.98,NORMAL,283
170,26.4,0,287.2,27.8,-9.6,-0.44,NORMAL,112
209,29.6,0,258,28,-29.2,0.26,NORMAL,141
228,22.3,0,249.4,25.7,-8.6,-2.3,NORMAL,248
259,30.7,0,235.6,26.6,-13.8,0.88,NORMAL,210
112,26.3,0,195.6,27.1,-40,0.44,NORMAL,196
218,32.4,0,205.2,28.3,9.6,1.2,NORMAL,191
169,18,0,197.2,25.9,-8,-2.32,NORMAL,298
310,24.9,0,213.6,26.5,16.4,0.52,NORMAL,207
292,21.2,0,220.2,24.6,6.6,-1.9,NORMAL,124
349,25,0,267.6,24.3,47.4,-0.26,NORMAL,290
291,29.4,0,282.2,23.7,14.6,-0.6,NORMAL,238
222,27.6,0,292.8,25.6,10.6,1.92,NORMAL,122
351,27.9,0,301,26.2,8.2,0.6,NORMAL,166
208,28.1,0,284.2,27.6,-16.8,1.38,NORMAL,132
191,28.9,0,252.6,28.4,-31.6,0.78,NORMAL,262
377,23.7,0,269.8,27.2,17.2,-1.14,NORMAL,140
173,30.8,0,260,27.9,-9.8,0.64,NORMAL,175
147,30.8,0,219.2,28.5,-40.8,0.58,NORMAL,233
198,29,0,217.2,28.6,-2,0.18,NORMAL,226
307,29.4,0,240.4,28.7,23.2,0.1,NORMAL,241
156,28.2,0,196.2,29.6,-44.2,0.9,NORMAL,241
189,35,0,199.4,30.5,3.2,0.84,NORMAL,130
158,25.9,0,201.6,29.5,2.2,-0.98,NORMAL,131
276,24.8,0,217.2,28.7,15.6,-0.84,NORMAL,177
192,22.7,0,194.2,27.3,-23,-1.34,NORMAL,287
215,21.9,0,206,26.1,11.8,-1.26,NORMAL,113
202,21.4,0,208.6,23.3,2.6,-2.72,NORMAL,240
284,22.8,0,233.8,22.7,25.2,-0.62,NORMAL,150
287,25.9,0,236,22.9,2.2,0.22,NORMAL,136
345,27.6,0,266.6,23.9,30.6,0.98,NORMAL,167
250,26.1,0,273.6,24.8,7,0.84,NORMAL,123
191,22.4,0,271.4,25,-2.2,0.2,NORMAL,235
341,28.7,0,282.8,26.1,11.4,1.18,NORMAL,273
252,27.8,0,275.8,26.5,-7,0.38,NORMAL,172
292,23.7,0,265.2,25.7,-10.6,-0.78,NORMAL,202
151,21.8,0,245.4,24.9,-19.8,-0.86,NORMAL,231
157,26.9,0,238.6,25.8,-6.8,0.9,NORMAL,114
313,24.8,0,233,25,-5.6,-0.78,NORMAL,259
364,18.3,0,255.4,23.1,22.4,-1.9,NORMAL,288
236,23.7,0,244.2,23.1,-11.2,0,NORMAL,212
342,25.2,0,282.4,23.8,38.2,0.68,NORMAL,201
325,20.5,0,316,22.5,33.6,-1.28,NORMAL,201
210,24.3,0,295.4,22.4,-20.6,-0.1,NORMAL,285
342,18,0,291,22.3,-4.4,-0.06,NORMAL,292
172,28.4,0,278.2,23.3,-12.8,0.94,NORMAL,241
157,28.4,0,241.2,23.9,-37,0.64,NORMAL,167
308,21.6,0,237.8,24.1,-3.4,0.22,NORMAL,234
299,24.2,0,255.6,24.1,17.8,-0.02,NORMAL,117
133,18,0,213.8,24.1,-41.8,0,NORMAL,186
338,18.5,0,247,22.1,33.2,-1.98,NORMAL,181
165,22.2,0,248.6,20.9,1.6,-1.24,NORMAL,162
319,18.8,0,250.8,20.3,2.2,-0.56,NORMAL,256
130,25.9,0,217,20.7,-33.8,0.34,NORMAL,272
330,30.3,0,256.4,23.1,39.4,2.46,NORMAL,219
309,18,0,250.6,23,-5.8,-0.1,NORMAL,264
335,18.4,0,284.6,22.3,34,-0.76,NORMAL,223
285,22.3,0,277.8,23,-6.8,0.7,NORMAL,197
245,27.7,0,300.8,23.3,23,0.36,NORMAL,252
272,18,0,289.2,20.9,-11.6,-2.46,NORMAL,248
229,21.1,0,273.2,21.5,-16,0.62,NORMAL,293
316,27.3,0,269.4,23.3,-3.8,1.78,NORMAL,107
267,18,0,265.8,22.4,-3.6,-0.86,NORMAL,272
197,18,0,256.2,20.5,-9.6,-1.94,NORMAL,105
224,18.4,0,246.6,20.6,-9.6,0.08,NORMAL,243
280,18.1,0,256.8,20,10.2,-0.6,NORMAL,118
133,23.5,0,220.2,19.2,-36.6,-0.76,NORMAL,203
114,21.9,0,189.6,20,-30.6,0.78,NORMAL,198
198,18,0,189.8,20,0.2,0,NORMAL,127
136,22.5,0,172.2,20.8,-17.6,0.82,NORMAL,271
253,18.6,0,166.8,20.9,-5.4,0.1,NORMAL,136
278,26.5,0,195.8,21.5,29,0.6,NORMAL,135
281,18.4,0,229.2,20.8,33.4,-0.7,NORMAL,111
256,18.2,0,240.8,20.8,11.6,0.04,NORMAL,216
307,23.5,0,275,21,34.2,0.2,NORMAL,148
235,24.5,0,271.4,22.2,-3.6,1.18,NORMAL,176
135,23.4,0,242.8,21.6,-28.6,-0.62,NORMAL,225
319,18,0,250.4,21.5,7.6,-0.08,NORMAL,233
230,23.5,0,245.2,22.6,-5.2,1.06,NORMAL,117
238,18,0,231.4,21.5,-13.8,-1.1,NORMAL,298
271,22.3,0,238.6,21,7.2,-0.44,NORMAL,219
239,18,0,259.4,20,20.8,-1.08,NORMAL,167
133,23.1,0,222.2,21,-37.2,1.02,NORMAL,280
216,18,0,219.4,19.9,-2.8,-1.1,NORMAL,155
296,18,0,231,19.9,11.6,0,NORMAL,196
191,25.3,0,215,20.5,-16,0.6,NORMAL,159
282,22.7,0,223.6,21.4,8.6,0.94,NORMAL,125
111,19.4,0,219.2,20.7,-4.4,-0.74,NORMAL,130
236,27.4,0,223.2,22.6,4,1.88,NORMAL,263
210,20,0,206,23,-17.2,0.4,NORMAL,135
341,22,0,236,22.3,30,-0.66,NORMAL,178
201,23.2,0,219.8,22.4,-16.2,0.1,NORMAL,188
190,20.1,0,235.6,22.5,15.8,0.14,NORMAL,252
206,24.6,0,229.6,22,-6,-0.56,NORMAL,190
354,21,0,258.4,22.2,28.8,0.2,NORMAL,184
351,20.5,0,260.4,21.9,2,-0.3,NORMAL,124
157,28.3,0,251.6,22.9,-8.8,1.02,NORMAL,183
159,18.8,0,245.4,22.6,-6.2,-0.26,NORMAL,115
316,18,0,267.4,21.3,22,-1.32,NORMAL,155
134,29.4,0,223.4,23,-44,1.68,NORMAL,275
305,32.8,0,214.2,25.5,-9.2,2.46,NORMAL,184
185,21,0,219.8,24,5.6,-1.46,NORMAL,193
340,18,0,256,23.8,36.2,-0.16,NORMAL,231
212,21.5,0,235.2,24.5,-20.8,0.7,NORMAL,212
248,22,0,258,23.1,22.8,-1.48,NORMAL,242
271,21.7,0,251.2,20.8,-6.8,-2.22,NORMAL,214
145,18.4,0,243.2,20.3,-8,-0.52,NORMAL,156
266,25.2,0,228.4,21.8,-14.8,1.44,NORMAL,182
229,24.9,0,231.8,22.4,3.4,0.68,NORMAL,240
319,18,0,246,21.6,14.2,-0.8,NORMAL,263
357,25.2,0,263.2,22.3,17.2,0.7,NORMAL,201
259,29.7,0,286,24.6,22.8,2.26,NORMAL,271
198,22.4,0,272.4,24,-13.6,-0.56,NORMAL,150
245,19.8,0,275.6,23,3.2,-1.02,NORMAL,152
216,20.6,0,255,23.5,-20.6,0.52,NORMAL,140
347,23.5,0,253,23.2,-2,-0.34,NORMAL,187
186,18,0,238.4,20.9,-14.6,-2.34,NORMAL,204
165,22.1,0,231.8,20.8,-6.6,-0.06,NORMAL,205
247,19.6,0,232.2,20.8,0.4,-0.04,NORMAL,173
103,28.4,0,209.6,22.3,-22.6,1.56,NORMAL,189
107,20.8,0,161.6,21.8,-48,-0.54,NORMAL,262
166,28.4,0,157.6,23.9,-4,2.08,NORMAL,244
288,18,0,182.2,23,24.6,-0.82,NORMAL,177
292,23.8,0,191.2,23.9,9,0.84,NORMAL,155
275,22.1,0,225.6,22.6,34.4,-1.26,NORMAL,105
235,18,0,251.2,22.1,25.6,-0.56,NORMAL,245
272,21,0,272.4,20.6,21.2,-1.48,NORMAL,236
154,25.4,0,245.6,22.1,-26.8,1.48,NORMAL,213
344,19.4,0,256,21.2,10.4,-0.88,NORMAL,239
219,18,0,244.8,20.4,-11.2,-0.82,NORMAL,277
330,21.1,0,263.8,21,19,0.62,NORMAL,232
149,18,0,239.2,20.4,-24.6,-0.6,NORMAL,115
210,20.5,0,250.4,19.4,11.2,-0.98,NORMAL,207
278,22,0,237.2,19.9,-13.2,0.52,NORMAL,211
